[ID],[NAME],[REGION],[FLAG]
113,Liechtenstein,Europe and Central Asia,https://data.un.org/common/flags/lie_flag.png
114,Lithuania,Europe and Central Asia,https://data.un.org/common/flags/ltu_flag.png
115,Luxembourg,Europe and Central Asia,https://data.un.org/common/flags/lux_flag.png
116,Macao SAR,East Asia and Pacific,https://data.un.org/common/flags/mac_flag.png
117,Madagascar,Sub-Saharan Africa,https://data.un.org/common/flags/mdg_flag.png
118,Malawi,Sub-Saharan Africa,https://data.un.org/common/flags/mwi_flag.png
119,Malaysia,East Asia and Pacific,https://data.un.org/common/flags/mys_flag.png
120,Maldives,South Asia,https://data.un.org/common/flags/mdv_flag.png
121,Mali,Sub-Saharan Africa,https://data.un.org/common/flags/mli_flag.png
122,Malta,Middle East and North Africa,https://data.un.org/common/flags/mlt_flag.png
123,Marshall Islands,East Asia and Pacific,https://data.un.org/common/flags/mhl_flag.png
124,Mauritania,Sub-Saharan Africa,https://data.un.org/common/flags/mrt_flag.png
125,Mauritius,Sub-Saharan Africa,https://data.un.org/common/flags/mus_flag.png
126,Mexico,Latin America and Caribbean,https://data.un.org/common/flags/mex_flag.png
127,Micronesia,East Asia and Pacific,https://data.un.org/common/flags/fsm_flag.png
128,Moldova,Europe and Central Asia,https://data.un.org/common/flags/mda_flag.png
129,Monaco,Europe and Central Asia,https://data.un.org/common/flags/mco_flag.png
130,Mongolia,East Asia and Pacific,https://data.un.org/common/flags/mng_flag.png
131,Montenegro,Europe and Central Asia,https://data.un.org/common/flags/mne_flag.png
132,Morocco,Middle East and North Africa,https://data.un.org/common/flags/mar_flag.png
133,Mozambique,Sub-Saharan Africa,https://data.un.org/common/flags/moz_flag.png
134,Myanmar,East Asia and Pacific,https://data.un.org/common/flags/mmr_flag.png
135,Namibia,Sub-Saharan Africa,https://data.un.org/common/flags/nam_flag.png
136,Nauru,East Asia and Pacific,https://data.un.org/common/flags/nru_flag.png
137,Nepal,South Asia,https://data.un.org/common/flags/npl_flag.png
138,Netherlands,Europe and Central Asia,https://data.un.org/common/flags/nld_flag.png
139,New Caledonia,East Asia and Pacific,https://data.un.org/common/flags/ncl_flag.png
140,New Zealand,East Asia and Pacific,https://data.un.org/common/flags/nzl_flag.png
141,Nicaragua,Latin America and Caribbean,https://data.un.org/common/flags/nic_flag.png
142,Niger,Sub-Saharan Africa,https://data.un.org/common/flags/ner_flag.png
143,Nigeria,Sub-Saharan Africa,https://data.un.org/common/flags/nga_flag.png
144,North Macedonia,Europe and Central Asia,https://data.un.org/common/flags/mkd_flag.png
145,Northern Mariana Islands,East Asia and Pacific,https://data.un.org/common/flags/mnp_flag.png
146,Norway,Europe and Central Asia,https://data.un.org/common/flags/nor_flag.png
147,Oman,Middle East and North Africa,https://data.un.org/common/flags/omn_flag.png
148,Pakistan,South Asia,https://data.un.org/common/flags/pak_flag.png
149,Palau,East Asia and Pacific,https://data.un.org/common/flags/plw_flag.png
150,Panama,Latin America and Caribbean,https://data.un.org/common/flags/pan_flag.png
151,Papua New Guinea,East Asia and Pacific,https://data.un.org/common/flags/png_flag.png
152,Paraguay,Latin America and Caribbean,https://data.un.org/common/flags/pry_flag.png
153,Peru,Latin America and Caribbean,https://data.un.org/common/flags/per_flag.png
154,Philippines,East Asia and Pacific,https://data.un.org/common/flags/phl_flag.png
155,Poland,Europe and Central Asia,https://data.un.org/common/flags/pol_flag.png
156,Portugal,Europe and Central Asia,https://data.un.org/common/flags/prt_flag.png
